Id,StageName,Amount,Product,Competitor,Account,Vertical
1001,Engage,"$63,878.00","Learning, Assessments",MedTeach,New Grove SNF Center 0001,SNF
1002,Identify,"$38,187.00","Learning, Regulation Management",InsightsAct,South Harbor SNF Center 0002,SNF
1003,Prove,"$73,254.00","Learning, Regulation Management",MedTeach,West Grove SNF Center 0003,SNF
1004,Prove,"$71,887.00",XM,CareEd,West Creek SNF Center 0004,SNF
1005,Identify,"$45,701.00","Learning, XM",CareEd,New Ridge Home Care Center 0005,HC
1006,Identify,"$71,808.00",Learning,MedTeach,New Haven Home Care Center 0006,HC
1007,Closed Lost,"$29,221.00",Policy Management,MedTeach,South View Home Health Center 0007,HH
1008,Identify,"$60,903.00","Learning, Regulation Management, Compliance, XM",CareEd,New Ridge Home Health Center 0008,HH
1009,Identify,"$74,898.00",XM,SNFCourse,South Creek SNF Center 0009,SNF
1010,Closed Lost,"$17,305.00",Learning,MedTeach,West Valley Home Health Center 0010,HH
1011,Identify,"$39,548.00",XM,MedTeach,South Grove Assisted Living Center 0011,AL
1012,Engage,"$34,100.00",Learning,CareEd,Lake Haven Home Health Center 0012,HH
1013,Prove,"$66,093.00","Learning, XM",SNFCourse,South Harbor Assisted Living Center 0013,AL
1014,Identify,"$11,340.00",Learning,SNFCourse,River View Assisted Living Center 0014,AL
1015,Engage,"$1,880.00",XM,SNFCourse,North Grove Assisted Living Center 0015,AL
1016,Prove,"$4,188.00",Learning,MedTeach,South Grove Home Care Center 0016,HC
1017,Closed Won,"$15,657.00","Learning, Regulation Management, Compliance, XM",MedTeach,River View Home Health Center 0017,HH
1018,Closed Won,"$76,342.00","Learning, XM",MedTeach,West Creek Home Health Center 0018,HH
1019,Identify,"$76,260.00",XM,MedTeach,Grand Heights Home Care Center 0019,HC
1020,Negotiate,"$69,011.00",Learning,SNFCourse,North Valley Home Care Center 0020,HC
1021,Engage,"$74,633.00",Policy Management,SNFCourse,Pine Valley Assisted Living Center 0021,AL
1022,Closed Won,"$31,930.00",Policy Management,InsightsAct,New Creek Home Care Center 0022,HC
1023,Engage,"$67,440.00",Learning,MedTeach,New Heights SNF Center 0023,SNF
1024,Engage,"$12,749.00",XM,MedTeach,River Ridge Home Care Center 0024,HC
1025,Prove,"$8,166.00",Learning,CareEd,South Springs Assisted Living Center 0025,AL
1026,Identify,"$18,488.00",Policy Management,InsightsAct,Lake Haven Assisted Living Center 0026,AL
1027,Identify,"$42,425.00",Learning,MedTeach,Lake Point SNF Center 0027,SNF
1028,Identify,"$4,199.00","Learning, Regulation Management, Compliance, XM",CareEd,West Ridge Home Health Center 0028,HH
1029,Identify,"$32,339.00",Learning,InsightsAct,River Valley SNF Center 0029,SNF
1030,Prove,"$17,856.00","Learning, Assessments",SNFCourse,River Creek Assisted Living Center 0030,AL
1031,Prove,"$57,519.00","Learning, Regulation Management, Compliance, XM",SNFCourse,Oak Grove Home Care Center 0031,HC
1032,Engage,"$31,749.00","Learning, Assessments",CareEd,Oak Point Home Health Center 0032,HH
1033,Identify,"$45,491.00","Learning, Assessments",InsightsAct,Lake Ridge Assisted Living Center 0033,AL
1034,Negotiate,"$76,847.00",XM,MedTeach,West Ridge Assisted Living Center 0034,AL
1035,Identify,"$74,527.00",Learning,SNFCourse,South Ridge SNF Center 0035,SNF
1036,Negotiate,"$6,049.00",XM,CareEd,River Grove Assisted Living Center 0036,AL
1037,Closed Won,"$66,224.00","Compliance, XM",CareEd,River View Home Care Center 0037,HC
1038,Prove,"$54,437.00",XM,SNFCourse,Lake View SNF Center 0038,SNF
1039,Identify,"$63,655.00",XM,MedTeach,North View SNF Center 0039,SNF
1040,Engage,"$10,954.00","Learning, XM",CareEd,West Creek Assisted Living Center 0040,AL
1041,Identify,"$51,634.00",XM,CareEd,New Point Home Care Center 0041,HC
1042,Prove,"$8,106.00",Learning,MedTeach,South Ridge Home Care Center 0042,HC
1043,Engage,"$36,131.00","Learning, XM",SNFCourse,East View SNF Center 0043,SNF
1044,Identify,"$66,071.00","Compliance, XM",SNFCourse,North Haven Assisted Living Center 0044,AL
1045,Closed Lost,"$17,066.00","Compliance, XM",SNFCourse,River Springs Home Care Center 0045,HC
